weight_decay,batch_size,model_seed,split_seed,shuffle_seed,pt_best_test_loss,ptg_best_test_loss,sft_best_test_loss,hybrid_test_loss,hybrid_acc
0.15,1024,1235,42,44,2.2721491177435385e-07,1.589905878063291e-06,6.691302587569226e-07,1.665158748626709,0.9907148480415344
0.15,1024,1236,41,43,2.6953644010063726e-06,3.228490641049575e-06,3.107234442722984e-05,0.0673046335577964,0.9770668148994446
0.15,1024,1236,41,44,8.421594088758867e-08,1.0922056389972568e-05,1.919068779443478e-07,7.152985095977783,0.8627363443374634
0.15,1024,1236,42,43,3.018659242570721e-07,6.459985161200166e-05,0.0003046080237254,63.10522079467773,0.0316590219736099
0.15,1024,1236,42,44,2.927406512753805e-07,1.2143708772782702e-05,8.569070632802323e-05,25.41496467590332,0.0403848327696323
0.3,-1,1234,41,43,1.5435695104315528e-06,0.5472406148910522,0.0045056394301354,0.0094905840232968,0.9994406700134276
0.3,-1,1234,42,43,4.701215630120714e-07,2.924414729932323e-05,0.000889511022251,9.489627838134766,0.3652533888816833
0.3,-1,1235,41,43,4.890202944807243e-07,0.0047742938622832,0.0048337965272367,2.4398348331451416,0.8786218166351318
0.3,-1,1235,42,43,1.8958915859457198e-07,0.0249628387391567,0.0023045495618134,0.0022938463371247,1.0
0.3,-1,1236,41,43,1.2164568943262566e-05,0.1113908439874649,0.0264139380306005,0.0027198288589715,0.9994406700134276
0.3,-1,1236,42,43,5.459432941279374e-07,0.0055207568220794,0.0076420162804424,0.0032771707046777,0.9993287920951844
0.3,256,1234,41,43,1.3060473236237158e-07,0.0009537612204439,2.469778905833664e-07,26.732460021972656,0.0540328919887542
0.3,256,1234,41,44,1.5595621505326562e-07,1.345352131920663e-07,4.837201004193048e-07,1.1339895725250244,0.491889476776123
0.3,256,1234,42,43,2.0958620439159859e-07,0.0004923848900943,0.0007263354491442,0.0791869238018989,0.968229115009308
0.3,256,1234,42,44,2.49200269308858e-07,0.000116890114441,0.0003597982868086,1.1270469427108765,0.9087146520614624
0.3,256,1235,41,43,1.5759606242227164e-07,0.0003969999961555,7.766681733301084e-07,0.084240436553955,1.0
0.3,256,1235,41,44,2.7339834218764736e-07,0.0012632698053494,3.691349775181152e-05,0.9090008735656738,0.5356304049491882
0.3,256,1235,42,43,9.155736080401766e-08,3.4395339753245935e-05,3.15549158358408e-07,0.0009268404101021,0.9998881816864014
0.3,256,1235,42,44,2.603677842216712e-07,0.0011886594584211,0.0001953329629031,0.0039135091938078,0.9983220100402832
0.3,256,1236,41,43,1.9231627845783805e-07,0.0001938558998517,9.30024398257956e-05,0.4209483861923218,0.8446134924888611
0.3,256,1236,41,44,2.042449551709069e-07,0.0038117049261927,4.708462438429706e-05,3.465102434158325,0.5497259497642517
0.3,256,1236,42,43,3.083040382989566e-07,5.940979099250399e-05,1.1178150998603089e-05,0.0773120895028114,0.9437297582626344
0.3,256,1236,42,44,2.526543028125161e-07,0.0007638775277882,5.8884939790004864e-05,0.5588510036468506,0.8069135546684265
0.3,512,1234,41,43,4.5456022235157444e-07,7.473739515262423e-06,3.714391368703218e-06,0.0061997445300221,0.9993287920951844
0.3,512,1234,41,44,8.867681344781887e-08,0.0002818607317749,5.226813186709478e-07,1.911922097206116,0.9145318269729614
0.3,512,1234,42,43,3.455089085946384e-07,2.770881837932393e-05,8.01364949438721e-05,0.1846067458391189,0.8924936056137085
0.3,512,1234,42,44,1.435071510513808e-07,0.0022830851376056,3.1210943234327715e-06,0.8190110325813293,0.6203154921531677
0.3,512,1235,41,43,2.1862716437226482e-07,0.0006619459018111,6.599926564376801e-06,4.237590312957764,0.2298914939165115
0.3,512,1235,41,44,3.230375114071649e-07,0.0002417381620034,9.010173016577028e-07,5.659350395202637,0.2127754837274551
0.3,512,1235,42,43,1.671381824053242e-07,3.520460495565203e-06,4.496536712395027e-05,1.1758427619934082,0.9365701079368592
0.3,512,1235,42,44,2.2752958273031254e-07,0.0020695773418992,0.0014353528385981,2.7909812927246094,0.5819442868232727
0.3,512,1236,41,43,1.1101429464588365e-07,9.35142525122501e-05,7.826647561159916e-06,0.3709974288940429,0.9994406700134276
0.3,512,1236,41,44,1.6671081937147394e-07,2.0167841285001487e-05,0.0001008795006782,8.978414535522461,0.4433381855487823
0.3,512,1236,42,43,2.4529941811124445e-07,0.000777379842475,2.9171098503866236e-05,0.0116103086620569,0.9977626204490662
0.3,512,1236,42,44,3.030634445622127e-07,0.0099406139925122,2.757925358309876e-05,3.5608251094818115,0.506879985332489
0.3,1024,1234,41,43,2.515785695322848e-07,0.0018437942489981,0.0003916908171959,1.1338306665420532,0.9253831505775452
0.3,1024,1234,41,44,2.6189570689894026e-07,4.0695264033274725e-05,0.0006414270610548,6.7186713218688965,0.3291195929050445
0.3,1024,1234,42,43,1.7087219816858126e-07,1.225807318405714e-05,1.08629765236401e-05,5.010714054107666,0.3691688179969787
0.3,1024,1234,42,44,2.824530724865326e-07,0.0032859211787581,5.821431113872677e-05,1.4560439586639404,0.5329455137252808
0.3,1024,1235,41,43,2.97649194180849e-07,1.3512077430277714e-06,0.000279259023955,0.1711937487125396,0.9973151683807372
0.3,1024,1235,41,44,3.342433672059997e-07,0.015048055909574,7.358505627053091e-06,7.7958526611328125,0.1645597964525222
0.3,1024,1235,42,43,2.260380540519691e-07,0.0075594740919768,0.0008478922536596,0.7089461088180542,0.7781631350517273
0.3,1024,1235,42,44,8.359260732504481e-07,0.0050528110004961,0.0011094876099377,2.6324191093444824,0.6027520298957825
0.3,1024,1236,41,43,2.3672008353514687e-07,3.012184788531158e-05,2.582569322839845e-06,4.767155170440674,0.3370623290538788
0.3,1024,1236,41,44,6.211460004124092e-07,0.0044021825306117,0.000107262028905,1.7366666793823242,0.5167244672775269
0.3,1024,1236,42,43,3.922511098153336e-07,0.0012234838213771,0.0031769366469234,37.55507278442383,0.0580601878464221
0.3,1024,1236,42,44,4.6532352371286834e-07,4.174355581199052e-06,0.0009422551374882,5.052770137786865,0.5498378276824951
0.5,-1,1234,41,43,2.5550764348736266e-07,0.5466287732124329,9.047221101354808e-05,7.7545576095581055,0.2941044867038727
0.5,-1,1234,42,43,2.1830777541254065e-07,0.0001143821282312,0.0324860997498035,0.3281523883342743,0.799642026424408
0.5,-1,1235,41,43,3.569747423171066e-05,0.0168773904442787,0.0052411267533898,1.308027982711792,0.9370176196098328
0.5,-1,1235,42,43,3.763672111745109e-06,0.0052176313474774,0.0026367723476141,0.9747384786605836,0.9138606190681458
0.5,-1,1236,41,43,4.374932984774205e-07,0.0114729963243007,0.0096167270094156,15.94088077545166,0.1323414295911789
0.5,-1,1236,42,43,2.7213710040996375e-07,0.0116200530901551,0.0037977097090333,16.131935119628906,0.240295335650444
0.5,256,1234,41,43,1.4722124319632712e-07,4.214503235289158e-07,1.3274232912863226e-07,27.55553436279297,0.5415594577789307
0.5,256,1234,41,44,1.051999305445861e-07,0.0019901313353329,1.15937439204572e-06,0.4109925925731659,0.7942723035812378
0.5,256,1234,42,43,1.2337211501289858e-06,0.0023159529082477,0.0002175417466787,0.0038562992122024,0.9985457062721252
0.5,256,1234,42,44,3.375503467850649e-07,0.0021606888622045,0.0002297183818882,4.723281383514404,0.70265132188797
0.5,256,1235,41,43,2.255293622965837e-07,6.273057078942657e-05,6.521032105410995e-07,14.259440422058104,0.114666074514389
0.5,256,1235,41,44,3.140193598483165e-07,0.0078507727012038,7.924824103611172e-07,6.460906505584717,0.2621098756790161
0.5,256,1235,42,43,1.4823474714376061e-07,0.0141395153477787,2.559669519541785e-05,0.3958369791507721,0.7622776627540588
0.5,256,1235,42,44,1.0265947025800417e-07,0.0024630965199321,1.2675083098656614e-06,0.0298600457608699,0.9756125211715698
0.5,256,1236,41,43,2.122934859016823e-07,0.0044022104702889,7.332807399507146e-06,1.3704490661621094,0.9983220100402832
0.5,256,1236,41,44,2.555345020027744e-07,0.0268600787967443,8.16764986666385e-06,0.2917315661907196,0.8185479640960693
0.5,256,1236,42,43,2.674505026334373e-07,0.0017299387836828,1.6810057786642574e-05,0.6150220036506653,0.6321736574172974
0.5,256,1236,42,44,2.766589091152128e-07,0.0231065843254327,2.4423201466561292e-05,1.4107298851013184,0.9514487385749816
0.5,512,1234,41,43,1.1749560258067505e-07,0.0004625551518984,1.0206387912603533e-07,25.076690673828125,0.3650296628475189
0.5,512,1234,41,44,1.1646871911352721e-07,0.0078244386240839,1.247556724592869e-07,111.32451629638672,0.063206173479557
0.5,512,1234,42,43,1.1166116564709229e-07,1.7994376548813309e-06,2.0016574353576289e-07,21.399614334106445,0.3465712070465088
0.5,512,1234,42,44,9.811860479658209e-08,0.0005985700991004,4.496183009905508e-06,2.748692035675049,0.8864526748657227
0.5,512,1235,41,43,4.114819148526294e-06,0.0058514336124062,4.137649375479669e-05,10.290618896484377,0.3159190118312835
0.5,512,1235,41,44,1.825144266831558e-07,6.191481224959716e-05,2.14925620412032e-07,7.807148456573486,0.17350934445858
0.5,512,1235,42,43,1.858350344718929e-07,2.3123189407670003e-07,1.2028047422063535e-05,0.4917306303977966,0.6990715265274048
0.5,512,1235,42,44,1.858550291444772e-07,2.466567821102217e-05,1.8415583326714117e-05,1.9555671215057373,0.931200385093689
0.5,512,1236,41,43,2.158875389568493e-07,0.0145260533317923,1.3746261174674146e-05,5.505637168884277,0.7971808910369873
0.5,512,1236,41,44,2.383782913284449e-07,7.819705206202343e-05,0.0008898506057448,2.5537214279174805,0.8005369901657104
0.5,512,1236,42,43,2.5812190074248065e-07,0.0075270398519933,7.91910042607924e-06,0.0236479509621858,0.9892605543136596
0.5,512,1236,42,44,2.261026423866497e-07,0.0004600585671141,1.815771611290984e-05,0.9326911568641664,0.8924936056137085
0.5,1024,1234,41,43,1.9552366836705917e-07,0.0070482157170772,0.000172490850673,0.4963825941085815,0.8177648782730103
0.5,1024,1234,41,44,3.711010378992796e-07,4.709781933343038e-06,0.0002210454258602,1.3006418943405151,0.5863072276115417
0.5,1024,1234,42,43,1.4188682939675348e-07,0.0063324589282274,9.129319550993388e-06,0.294858455657959,0.7668642997741699
0.5,1024,1234,42,44,1.217097320704852e-07,4.589561740431236e-06,6.582791343134886e-07,5.754331588745117,0.6519744992256165
0.5,1024,1235,41,43,2.548678992297937e-07,0.0078394431620836,9.502859029453248e-05,3.3963828086853027,0.5877615213394165
0.5,1024,1235,41,44,3.4779864677148e-07,0.009397474117577,0.0001088265271391,3.4771993160247803,0.6492896676063538
0.5,1024,1235,42,43,2.4347943394786853e-07,7.130962330847979e-06,0.0017141789430752,0.5578380823135376,0.794048547744751
0.5,1024,1235,42,44,3.390533152014541e-07,0.0196605417877435,6.920337182236835e-05,10.43792724609375,0.1679158806800842
0.5,1024,1236,41,43,1.729859206989204e-07,0.0139741906896233,4.453230303624878e-06,7.600306510925293,0.4706343114376068
0.5,1024,1236,41,44,2.076459395539132e-07,0.0018193087307736,3.83832557417918e-05,0.4629043936729431,0.8337621688842773
0.5,1024,1236,42,43,3.327621982407436e-07,0.0140029639005661,4.09582098654937e-05,0.1540516763925552,0.9505537748336792
0.5,1024,1236,42,44,8.23738787403272e-07,0.000326678098645,0.0002843381371349,2.725424766540528,0.4595592617988586
