weight_decay,batch_size,model_seed,split_seed,shuffle_seed,sft_best_test_loss,hybrid_test_loss,hybrid_acc,hybrid_acc_even,hybrid_acc_odd
0.5,512,1234,41,43,1.0206387912603532e-07,25.076690673828125,0.3650296628475189,0.3940809965133667,0.3356580436229706
0.5,512,1234,41,44,1.2475567245928687e-07,111.32451629638672,0.06320617347955704,0.054294612258672714,0.0722159743309021
0.5,256,1234,41,43,1.3274232912863226e-07,27.55553436279297,0.5415594577789307,0.6010235548019409,0.48143982887268066
0.15,256,1234,41,43,1.453792037864332e-07,8.844719886779785,0.794607937335968,0.8609256744384766,0.7275590896606445
0.15,1024,1236,41,44,1.919068779443478e-07,7.152985095977783,0.8627363443374634,0.8500222563743591,0.8755905628204346
0.5,512,1234,42,43,2.0016574353576289e-07,21.399614334106445,0.3465712070465088,0.3380751311779022,0.35518017411231995
0.15,1024,1234,42,44,2.0760401753250335e-07,0.9514679312705994,0.999776303768158,0.9995554685592651,1.0
0.5,512,1235,41,44,2.14925620412032e-07,7.807148456573486,0.17350934445858002,0.21050289273262024,0.13610798120498657
0.3,256,1234,41,43,2.469778905833664e-07,26.732460021972656,0.05403289198875427,0.05562972649931908,0.05241844803094864
0.3,256,1235,42,43,3.15549158358408e-07,0.0009268404101021588,0.9998881816864014,1.0,0.9997748136520386
0.3,256,1234,41,44,4.837201004193048e-07,1.1339895725250244,0.49188947677612305,0.5280373692512512,0.455343097448349
0.15,1024,1235,41,44,5.00392616231693e-07,2.2132041454315186,0.9346683621406555,0.9955496191978455,0.8731158971786499
0.3,512,1234,41,44,5.226813186709478e-07,1.9119220972061157,0.9145318269729614,0.9132176041603088,0.9158605337142944
0.5,256,1235,41,43,6.521032105410995e-07,14.259440422058105,0.11466607451438904,0.19670671224594116,0.03172103688120842
0.5,1024,1234,42,44,6.582791343134886e-07,5.754331588745117,0.6519744992256165,0.6692598462104797,0.6344594955444336
0.15,512,1234,41,43,6.627802804359817e-07,0.30088406801223755,0.8127307295799255,0.7705829739570618,0.8553431034088135
0.15,1024,1235,42,44,6.691302587569226e-07,1.665158748626709,0.9907148480415344,1.0,0.9813063144683838
0.15,512,1236,41,43,7.396967021122691e-07,32.207054138183594,0.21792148053646088,0.19003114104270935,0.24611924588680267
0.15,512,1235,42,44,7.658043728042685e-07,0.023873312398791313,1.0,1.0,1.0
0.3,256,1235,41,43,7.766681733301084e-07,0.08424043655395508,1.0,1.0,1.0
0.5,256,1235,41,44,7.924824103611172e-07,6.460906505584717,0.2621098756790161,0.3949710726737976,0.12778402864933014
0.15,256,1234,41,44,8.761699632486852e-07,0.04503144323825836,1.0,1.0,1.0
0.3,512,1235,41,44,9.010173016577028e-07,5.659350395202637,0.21277548372745514,0.30818867683410645,0.11631046235561371
0.15,256,1235,41,43,1.0360698752265307e-06,75.401611328125,0.053473543375730515,0.0006675567128695548,0.1068616434931755
0.5,256,1234,41,44,1.15937439204572e-06,0.4109925925731659,0.7942723035812378,0.8030707240104675,0.7853768467903137
0.5,256,1235,42,44,1.2675083098656614e-06,0.02986004576086998,0.9756125211715698,0.9706601500511169,0.98063063621521
0.15,256,1234,42,43,1.2933254538438632e-06,12.962355613708496,0.2964537441730499,0.2985107898712158,0.2943693697452545
0.3,1024,1236,41,43,2.582569322839845e-06,4.767155170440674,0.3370623290538788,0.3540275990962982,0.3199100196361542
0.15,512,1234,41,44,2.6506515951041365e-06,0.14070825278759003,1.0,1.0,1.0
0.3,512,1234,42,44,3.1210943234327715e-06,0.8190110325813293,0.6203154921531677,0.6163591742515564,0.6243243217468262
0.3,512,1234,41,43,3.714391368703218e-06,0.006199744530022144,0.9993287920951843,1.0,0.9986501932144165
0.5,1024,1236,41,43,4.453230303624878e-06,7.600306510925293,0.4706343114376068,0.520916759967804,0.41979753971099854
0.5,512,1234,42,44,4.496183009905508e-06,2.748692035675049,0.8864526748657227,0.8910868763923645,0.8817567825317383
0.3,512,1235,41,43,6.599926564376801e-06,4.237590312957764,0.22989149391651154,0.3898531198501587,0.06816647946834564
0.5,256,1236,41,43,7.332807399507146e-06,1.3704490661621094,0.9983220100402832,0.9997774362564087,0.9968504309654236
0.3,1024,1235,41,44,7.358505627053091e-06,7.7958526611328125,0.16455979645252228,0.11237204819917679,0.21732284128665924
0.3,512,1236,41,43,7.826647561159916e-06,0.37099742889404297,0.9994406700134277,0.9993324279785156,0.9995500445365906
0.5,512,1236,42,43,7.91910042607924e-06,0.02364795096218586,0.9892605543136597,0.9897754788398743,0.9887387752532959
0.5,256,1236,41,44,8.16764986666385e-06,0.2917315661907196,0.8185479640960693,0.8451268076896667,0.7916760444641113
0.15,256,1235,41,44,9.090054845728446e-06,0.032257478684186935,0.999776303768158,1.0,0.9995500445365906
0.5,1024,1234,42,43,9.129319550993387e-06,0.294858455657959,0.7668642997741699,0.7848410606384277,0.7486486434936523
0.15,256,1236,41,43,9.242747182724997e-06,5.168910026550293,0.9744938015937805,0.9537160396575928,0.9955005645751953
0.3,1024,1234,42,43,1.08629765236401e-05,5.010714054107666,0.36916881799697876,0.36274728178977966,0.37567567825317383
0.3,256,1236,42,43,1.1178150998603087e-05,0.07731208950281143,0.9437297582626343,0.9444320797920227,0.9430180191993713
0.5,512,1235,42,43,1.2028047422063537e-05,0.49173063039779663,0.6990715265274048,0.7206045985221863,0.6772522926330566
0.5,512,1236,41,43,1.3746261174674146e-05,5.505637168884277,0.7971808910369873,0.8558077216148376,0.7379077672958374
0.15,256,1234,42,44,1.382529444526881e-05,0.003319605952128768,1.0,1.0,1.0
0.5,256,1236,42,43,1.6810057786642574e-05,0.6150220036506653,0.6321736574172974,0.6708157062530518,0.5930180549621582
