variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
PT,0.15,512,1236,41,43,3.37835558639199e-07,1.0,6.637769729422871e-07,1.0,6.612282277274062e-07,1.0,1.9647930952442647,1.9572487585108929
PT,0.15,512,1236,41,44,2.8105520755161706e-07,1.0,3.112659499038273e-07,1.0,3.0663539973829756e-07,1.0,1.1074904201754094,1.0910148308921925
PT,0.15,512,1236,42,43,4.487252454055124e-07,1.0,7.184547712313361e-07,1.0,6.140490995676373e-07,1.0,1.6011017400682894,1.3684300267365657
PT,0.15,512,1236,42,44,4.3625263401736447e-07,1.0,4.583871771046688e-07,1.0,4.483423765577754e-07,1.0,1.0507379013015272,1.0277127095579432
PT,0.3,-1,1234,41,43,2.2205797449714737e-06,1.0,2.876038706745021e-06,1.0,2.5063659450097475e-06,1.0,1.2951747007770567,1.1286989132839924
PT,0.3,-1,1234,42,43,7.249356599459134e-07,1.0,7.584696959384019e-07,1.0,7.534241603934788e-07,1.0,1.0462579479053222,1.0392979708705334
PT,0.3,-1,1235,41,43,7.578098575322656e-07,1.0,9.155941711469495e-07,1.0,9.697209861769807e-07,1.0,1.208210954299926,1.279636278861274
PT,0.3,-1,1235,42,43,3.2628736335027497e-07,1.0,3.842720843749703e-07,1.0,3.6571250916495046e-07,1.0,1.1777105935985874,1.120829520977654
PT,0.3,-1,1236,41,43,1.7110480257542804e-05,1.0,1.3823694644088391e-05,1.0,1.2375090591376647e-05,1.0,0.8079080444275958,0.7232462447055712
PT,0.3,-1,1236,42,43,8.527442787453765e-07,1.0,1.4931969190001837e-06,1.0,1.3897364397053025e-06,1.0,1.7510488856015438,1.6297223849452154
PT,0.3,1024,1234,41,43,4.132007518364844e-07,1.0,6.055191192899656e-07,1.0,5.60416481221182e-07,1.0,1.465435666800498,1.3562813686335091
PT,0.3,1024,1234,41,44,4.407907283621171e-07,1.0,5.56647933080967e-07,1.0,5.367347739593242e-07,1.0,1.2628394774757405,1.2176634838797868
PT,0.3,1024,1234,42,43,2.8272617669244937e-07,1.0,3.6088545130041894e-07,1.0,3.537248574048135e-07,1.0,1.2764486667712822,1.2511217091496865
PT,0.3,1024,1234,42,44,4.6897582706151297e-07,1.0,5.871297616977245e-07,1.0,5.61045396807458e-07,1.0,1.251940351332253,1.1963205018962924
PT,0.3,1024,1235,41,43,4.940423536936578e-07,1.0,5.324404241946468e-07,1.0,5.076633442513412e-07,1.0,1.0777222240439706,1.027570491590139
PT,0.3,1024,1235,41,44,5.286790383252082e-07,1.0,8.086504976745346e-07,1.0,8.04798048648081e-07,1.0,1.5295679212783664,1.5222809877190984
PT,0.3,1024,1235,42,43,3.4189963571407134e-07,1.0,5.610248194898304e-07,1.0,5.488825536303921e-07,1.0,1.6409049934145357,1.605390869996186
PT,0.3,1024,1235,42,44,1.2189439075882547e-06,1.0,2.4135249532264424e-06,1.0,1.950980504261679e-06,1.0,1.9800131394083014,1.6005498629726103
PT,0.3,1024,1236,41,43,3.6575261219695676e-07,1.0,6.350931585075159e-07,1.0,6.332803650366259e-07,1.0,1.7364008822595094,1.7314445445316633
PT,0.3,1024,1236,41,44,9.618920557841193e-07,1.0,1.4748928833796526e-06,1.0,1.507694719293795e-06,1.0,1.5333247369189915,1.5674261058999452
PT,0.3,1024,1236,42,43,6.151056481940032e-07,1.0,6.937687544450455e-07,1.0,6.454085905716056e-07,1.0,1.1278855209377499,1.0492646140814577
